family,genus,species,L,H,AC,AR,M,B,N,total
Acanthuridae,Acanthurus,Acanthurus nigrofuscus,0,89,10,0,1,0,0,100
Acanthuridae,Naso,Naso annulatus,7.5,5,87.5,0,0,0,0,100
Acanthuridae,Naso,Naso vlamingii,0,17.5,35,0,42.5,0,5,100
Acanthuridae,Zebrasoma,Zebrasoma velifer,96,0,4,0,0,0,0,100
Albulidae,Albula,Albula vulpes,0,50,35,10,5,0,0,100
Apogonidae,Apogon,Apogon limenus,0,100,0,0,0,0,0,100
Apogonidae,Ostorhinchus,Ostorhinchus novemfasciatus,0,98,2,0,0,0,0,100
Apogonidae,Pristiapogon,Pristiapogon exostigma,0,98,2,0,0,0,0,100
Apogonidae,Sphaeramia,Sphaeramia nematoptera,0,100,0,0,0,0,0,100
Apogonidae,Sphaeramia,Sphaeramia orbicularis,0,99.33333333,0.666666667,0,0,0,0,100
Balistidae,Rhinecanthus,Rhinecanthus verrucosus,0,0,1,0,99,0,0,100
Belonidae,Platybelone,Platybelone argalus argalus,10,50,30,7.5,0,2.5,0,100
Blenniidae,Blenny,Blenny sp.,13,7,80,0,0,0,0,100
Blenniidae,Petroscirtes,Petroscirtes breviceps,88,2,10,0,0,0,0,100
Blenniidae,Salarias,Salarias ceramensis,20,0,20,20,40,0,0,100
Bothidae/Paralichthyidae,Flounder,Flounder sp.,0,100,0,0,0,0,0,100
Caesionidae,Caesio,Caesio cuning,1.825,59.175,39,0,0,0,0,100
Chaetodontidae,Chaetodon,Chaetodon ephippium,5,0,1,4,90,0,0,100
Chaetodontidae,Chaetodon,Chaetodon lunulatus,0,0,3.333333333,0,96.66666667,0,0,100
Diodontidae,Tragulichthys,Tragulichthys jaculiferus,0,75,20,5,0,0,0,100
Echenidae,Echeneis,Echeneis naucrates,3,97,0,0,0,0,0,100
Gerreidae,Eucinostomus,Eucinostomus sp.,0,81.66666667,11.66666667,6.666666667,0,0,0,100
Gerreidae,Gerres,Gerres cinereus,3.5,82.75,2.5,11.25,0,0,0,100
Gobiidae,Amblygobius,Amblygobius phalaena,0,97.5,2.5,0,0,0,0,100
Gobiidae,Amblygobius,Amblygobius semicinctus,0,50,49,0,0,1,0,100
Gobiidae,Valenciennea,Valenciennea immaculata,6,14,80,0,0,0,0,100
Gobiidae,Valenciennea,Valenciennea longipinnis,0,0,50,0,49,1,0,100
Haemulidae,Haemulon,Haemulon flavolineatum,0,100,0,0,0,0,0,100
Haemulidae,Haemulon,Haemulon sp.,0,100,0,0,0,0,0,100
Haemulidae,Plectorhinchus,Plectorhinchus lineatus,0,98,2,0,0,0,0,100
Haemulidae,Plectorhinchus,Plectorhinchus picus,0,100,0,0,0,0,0,100
Holocentridae,Myripristis,Myripristis adusta,0,93,5,2,0,0,0,100
Holocentridae,Myripristis,Myripristis violacea,0,100,0,0,0,0,0,100
Holocentridae,Sargocentron,Sargocentron spiniferum,0,100,0,0,0,0,0,100
Labridae,Halichoeres,Halichoeres bivittatus,5.333333333,20,74.5,0.166666667,0,0,0,100
Labridae,Halichoeres,Halichoeres hortulanus,0,0,15,15,70,0,0,100
Labridae,Halichoeres,Halichoeres margaritaceus,7,13,80,0,0,0,0,100
Labridae,Halichoeres,Halichoeres trimaculatus,10.125,24.875,65,0,0,0,0,100
Labridae,Scarus,Scarus dimidiatus,1,1.5,44,0,48.5,5,0,100
Labridae,Scarus,Scarus globiceps,10,0,40,0,50,0,0,100
Labridae,Scarus,Scarus scaber,2.5,0,8.5,2.5,86.5,0,0,100
Labridae,Thalassoma,Thalassoma bifasciatum,16.04166667,15.83333333,68.125,0,0,0,0,100
Labridae,Thalassoma,Thalassoma lunare,8.666666667,14.66666667,76.66666667,0,0,0,0,100
Latidae,Lates,Lates calcarifer,0,98.04347826,0,0,0,1.956521739,0,100
Lethrinidae,Gymnocranius,Gymnocranius audleyi,0,92,0.5,7.5,0,0,0,100
Lethrinidae,Lethrinus,Lethrinus genivittatus,0,98.4375,0,1.5625,0,0,0,100
Lethrinidae,Lethrinus,Lethrinus miniatus,0,89.71428571,2.142857143,8.142857143,0,0,0,100
Lethrinidae,Lethrinus,Lethrinus nebulosus,0,95,0,5,0,0,0,100
Lutjanidae,Lutjanus,Lutjanus adetii,0,99.66666667,0,0,0,0.333333333,0,100
Lutjanidae,Lutjanus,Lutjanus apodus,0,99.57142857,0,0,0,0.428571429,0,100
Lutjanidae,Lutjanus,Lutjanus carponotatus,0,99,0,0,0,1,0,100
Lutjanidae,Lutjanus,Lutjanus gibbus,0,100,0,0,0,0,0,100
Lutjanidae,Lutjanus,Lutjanus kasmira,0,100,0,0,0,0,0,100
Lutjanidae,Lutjanus,Lutjanus russellii,0,99.19047619,0,0,0,0.80952381,0,100
Lutjanidae,Ocyurus,Ocyurus chrysurus,0,100,0,0,0,0,0,100
Microcanthidae,Microcanthus,Microcanthus strigatus,0,0,100,0,0,0,0,100
Mullidae,Parupeneus,Parupeneus barberinus,1,94,5,0,0,0,0,100
Muraenidae,Gymnothorax,Gymnothorax pseudothyrsoideus,0,0,100,0,0,0,0,100
Muraenidae,Gymnothorax,Gymnothorax javanicus,0,0,100,0,0,0,0,100
Nemipteridae,Pentapodus,Pentapodus paradiseus,0,100,0,0,0,0,0,100
Ostraciidae,Acanthostracion,Acanthostracion quadricornis,95,0,0,5,0,0,0,100
Pinguipedidae,Parapercis,Parapercis australis,0,100,0,0,0,0,0,100
Pinguipedidae,Parapercis,Parapercis queenslandica,0,100,0,0,0,0,0,100
Platycephalidae,Cymbacephalus,Cymbacephalus nematophthalmus,0,100,0,0,0,0,0,100
Plotosidae,Plotosus,Plotosus lineatus,20,80,0,0,0,0,0,100
Pomacanthidae,Pomacanthus,Pomacanthus arcuatus,95,0,0,5,0,0,0,100
Pomacanthidae,Pygoplites,Pygoplites diacanthus,1,0,5,0,34,0,60,100
Pomacentridae,Abudefduf,Abudefduf bengalensis,9,6,85,0,0,0,0,100
Pomacentridae,Abudefduf,Abudefduf septemfasciatus,7.5,10,82.5,0,0,0,0,100
Pomacentridae,Amblyglyphidodon,Amblyglyphidodon curacao,20,0,70,10,0,0,0,100
Pomacentridae,Amphiprion,Amphiprion clarkii,0,0,100,0,0,0,0,100
Pomacentridae,Chromis,Chromis atripectoralis,15.09090909,0,73.18181818,3.818181818,0.909090909,7,0,100
Pomacentridae,Dischistodus,Dischistodus perspicillatus,5,55,20,15,5,0,0,100
Pomacentridae,Pomacentrus,Pomacentrus bankanensis,0,0,90,0,10,0,0,100
Pomacentridae,Stegastes,Stegastes leucostictus,11.42857143,13.57142857,75,0,0,0,0,100
Pseudochromidae,Ogilbyina,Ogilbyina queenslandiae,0,70,30,0,0,0,0,100
Pseudochromidae,Pseudochromis,Pseudochromis fuscus,0,70,30,0,0,0,0,100
Pseudochromidae,Pseudochromis,Pseudochromis marshallensis,0,95,5,0,0,0,0,100
Scaridae,Sparisoma,Sparisoma chrysopterum,35,0,40,20,5,0,0,100
Scorpaenidae,Dendrochirus,Dendrochirus zebra,0,98,0,0,0,2,0,100
Scorpaenidae,Pterois,Pterois volitans,0,93.42857143,0,0,0,6.571428571,0,100
Scorpaenidae,Scorpaenopsis,Scorpaenopsis diabolus,0,100,0,0,0,0,0,100
Serranidae,Cephalopholis,Cephalopholis cruentata,0,99,0,0,0,1,0,100
Serranidae,Cephalopholis,Cephalopholis urodeta,0,95,3,2,0,0,0,100
Serranidae,Epinephelus,Epinephelus fasciatus,0,98.16666667,1.333333333,0,0,0.5,0,100
Serranidae,Epinephelus,Epinephelus guttatus,0,100,0,0,0,0,0,100
Serranidae,Epinephelus,Epinephelus merra,0,95,5,0,0,0,0,100
Serranidae,Epinephelus,Epinephelus quoyanus,0,100,0,0,0,0,0,100
Serranidae,Epinephelus,Epinephelus striatus,0,94,5,0,0,1,0,100
Serranidae,Mycteroperca,Mycteroperca bonaci,0,94.375,4.25,0,0,1.375,0,100
Serranidae,Plectropomus,Plectropomus leopardus,0,99,0,0,0,1,0,100
Siganidae,Siganus,Siganus doliatus,0,0,0,0,100,0,0,100
Siganidae,Siganus,Siganus puellus,0,0,19.5,0.5,80,0,0,100
Siganidae,Siganus,Siganus punctatus,0,0,15,5,80,0,0,100
Sillaginidae,Sillago,Sillago maculata,0,100,0,0,0,0,0,100
Sillaginidae,Sillago,Sillago sihama,0,100,0,0,0,0,0,100
Sparidae,Acanthopagrus,Acanthopagrus australis,0,100,0,0,0,0,0,100
Sparidae,Pagrus,Pagrus auratus,0,100,0,0,0,0,0,100
Sparidae,Rhabdosargus,Rhabdosargus sarba,0,100,0,0,0,0,0,100
Sphyraenidae,Sphyraena,Sphyraena barracuda,3,57,30,10,0,0,0,100
Syngnathidae,Hippocampus,Hippocampus whitei,0,100,0,0,0,0,0,100
Syngnathidae,Trachyrhamphus,Trachyrhamphus bicoarctatus,0,100,0,0,0,0,0,100
Terapontidae,Pelates,Pelates sexlineatus,0,99.04081633,0,0,0,0.959183673,0,100
Tetraodontidae,Arothron,Arothron hispidus,35,20,30,0,15,0,0,100
Tetraodontidae,Arothron,Arothron nigropunctatus,0,0,1,0,44.66666667,1,53.33333333,100
Tetraodontidae,Sphoeroides,Sphoeroides testudineus,51.5,20,13.5,5.5,9.5,0,0,100
Tetrarogidae,Centropogon,Centropogon australis,0,100,0,0,0,0,0,100
Zanclidae,Zanclus,Zanclus cornutus,0,0,20,15,65,0,0,100
