family,genus,species,region,location,date,tank_id,fish_per_tank,mean_weight_kg,sampling_interval_h,mean_T,mean_S,mean_ph,exc_rate_umol_h,method
Sillaginidae,Sillago,Sillago sihama,Australia,Heron Island,Apr-14,Wh1,3,0.2027,73.27,25,36.5,8.18,5.476954,double
Scorpaenidae,Dendrochirus,Dendrochirus zebra,Australia,Heron Island,Apr-14,Tk1,1,0.053,97.25,25,36.5,8.18,1.7956400000000001,double
Sillaginidae,Sillago,Sillago sihama,Australia,Heron Island,Apr-14,Wh2,2,0.4205,73.32,25,36.5,8.18,6.118275,double
Pinguipedidae,Parapercis,Parapercis queenslandica,Australia,Heron Island,Apr-14,Sa1,1,0.1754,97.34,25,36.5,8.18,2.338082,double
Pseudochromidae,Ogilbyina,Ogilbyina queenslandiae,Australia,Heron Island,Apr-14,Db1,1,0.012,48.85,25,36.5,8.18,0.22763999999999998,double
Pinguipedidae,Parapercis,Parapercis queenslandica,Australia,Heron Island,Apr-14,Sa2,1,0.06,73.83,25,36.5,8.18,1.071,double
Serranidae,Epinephelus,Epinephelus quoyanus,Australia,Heron Island,Apr-14,LfR1,1,0.042,48.83,25,36.5,8.18,1.3209,double
Sillaginidae,Sillago,Sillago sihama,Australia,Heron Island,Apr-14,Wh3,3,0.218,90.21,25,36.5,8.18,2.75334,double
Sillaginidae,Sillago,Sillago sihama,Australia,Heron Island,Apr-14,Wh4,2,0.1675,90.36,25,36.5,8.18,2.62305,double
Sillaginidae,Sillago,Sillago sihama,Australia,Heron Island,Apr-14,Wh5,2,0.1935,46.25,25,36.5,8.18,6.53256,double
Lethrinidae,Lethrinus,Lethrinus miniatus,Australia,Heron Island,Apr-14,RtE1,2,0.415,73.95,25,36.5,8.18,15.035449999999997,double
Lutjanidae,Lutjanus,Lutjanus carponotatus,Australia,Heron Island,Apr-14,SpF1,1,0.328,76.45,25,36.5,8.18,12.38528,double
Lethrinidae,Lethrinus,Lethrinus miniatus,Australia,Heron Island,Apr-14,RtE2,2,0.591,78.57,25,36.5,8.18,6.12867,double
Lethrinidae,Lethrinus,Lethrinus miniatus,Australia,Heron Island,Apr-14,RtE3,1,0.404,78.84,25,36.5,8.18,9.58288,double
Lethrinidae,Lethrinus,Lethrinus miniatus,Australia,Heron Island,Apr-14,RtE4,1,0.535,22.28,25,36.5,8.18,12.7758,double
Lethrinidae,Lethrinus,Lethrinus miniatus,Australia,Heron Island,Apr-14,RtE5,1,0.828,69.01,25,36.5,8.18,8.503559999999998,double
Lethrinidae,Gymnocranius,Gymnocranius audleyi,Australia,Heron Island,Apr-14,BeS1,1,0.354,76.49,25,36.5,8.18,5.77728,double
Lethrinidae,Gymnocranius,Gymnocranius audleyi,Australia,Heron Island,Apr-14,BeS2,1,0.532,73.65,25,36.5,8.18,9.081240000000001,double
Serranidae,Epinephelus,Epinephelus fasciatus,Australia,Heron Island,Apr-14,BtR1,1,0.395,77.45,25,36.5,8.18,3.2153000000000005,double
Serranidae,Epinephelus,Epinephelus fasciatus,Australia,Heron Island,Apr-14,BtR2,1,0.355,73.16,25,36.5,8.18,7.74255,double
Serranidae,Epinephelus,Epinephelus fasciatus,Australia,Heron Island,Apr-14,BtR3,1,0.355,74.51,25,36.5,8.18,21.7047,double
Serranidae,Plectropomus,Plectropomus leopardus,Australia,Heron Island,Apr-14,LCg1,1,0.865,69.02,25,36.5,8.18,14.185999999999998,double
Serranidae,Epinephelus,Epinephelus fasciatus,Australia,Heron Island,Apr-14,BtR4,1,0.075,76.28,25,36.5,8.18,1.16775,double
Caesionidae,Caesio,Caesio cuning,Australia,Heron Island,Apr-14,Fu1,1,0.455,48.83,25,36.5,8.18,10.3376,double
Serranidae,Epinephelus,Epinephelus fasciatus,Australia,Heron Island,Apr-14,BtR5,1,0.283,69.05,25,36.5,8.18,6.834449999999999,double
Serranidae,Plectropomus,Plectropomus leopardus,Australia,Heron Island,Apr-14,LCg2,2,1.65,48.9,25,36.5,8.18,10.3455,double
Lethrinidae,Gymnocranius,Gymnocranius audleyi,Australia,Heron Island,Apr-14,BeS3,2,0.317,73.71,25,36.5,8.18,3.3728800000000003,double
Lutjanidae,Lutjanus,Lutjanus adetii,Australia,Heron Island,Apr-14,Hu1,1,0.555,73.16,25,36.5,8.18,15.745350000000002,double
Lethrinidae,Lethrinus,Lethrinus miniatus,Australia,Heron Island,Apr-14,RtE6,3,0.5223,73.4,25,36.5,8.18,14.284905,double
Lethrinidae,Lethrinus,Lethrinus miniatus,Australia,Heron Island,Apr-14,RtE7,1,1.16,69,25,36.5,8.18,52.2812,double
Lethrinidae,Lethrinus,Lethrinus miniatus,Australia,Heron Island,Apr-14,RtE8,2,1.204,73.56,25,36.5,8.18,17.77104,double
Lethrinidae,Lethrinus,Lethrinus miniatus,Australia,Heron Island,Apr-14,RtE9,1,0.886,69.02,25,36.5,8.18,15.88598,double
Serranidae,Plectropomus,Plectropomus leopardus,Australia,Heron Island,Apr-14,LCg3,1,2.8,73.51,25,36.5,8.18,43.4,double
Lutjanidae,Lutjanus,Lutjanus adetii,Australia,Heron Island,Apr-14,Hu2,2,0.4885,73.28,25,36.5,8.18,19.681665,double
Pseudochromidae,Ogilbyina,Ogilbyina queenslandiae,Australia,Heron Island,Apr-14,Db2,1,0.017,73.5,25,36.5,8.18,0.28220000000000006,double
Scorpaenidae,Scorpaenopsis,Scorpaenopsis diabolus,Australia,Heron Island,Apr-14,DSf2,1,0.0019,23.02,25,36.5,8.18,0.16953700000000002,double
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar1,1,0.85,89.75,23,35.1,8.09,11.092500000000001,double
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar2,1,0.81,74.45,23,35.1,8.09,6.2532000000000005,double
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar3,1,0.84,74.77,23,35.1,8.09,5.5607999999999995,double
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar4,1,0.65,74.78,23,35.1,8.09,11.479000000000001,double
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar5,1,0.59,74.44,23,35.1,8.09,9.8589,double
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar6,1,1.01,74.43,23,35.1,8.09,13.1401,double
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-15,Mp1,2,0.091,72.8,23,35.1,8.09,2.49249,double
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-15,Mp2,2,0.124,72.61,23,35.1,8.09,2.63252,double
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-15,Mp3,1,0.137,71.57,23,35.1,8.09,3.9771100000000006,double
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-15,Mp4,2,0.11,95.02,23,35.1,8.09,3.0580000000000003,double
Sparidae,Pagrus,Pagrus auratus,Australia,Moreton Bay,May-15,Sp1,1,0.145,94.96,23,35.1,8.09,4.9793,double
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-15,Mp5,1,0.141,59.08,23,35.1,8.09,5.20149,double
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar7,1,0.7,74.79,23,35.1,8.09,13.817999999999998,double
Apogonidae,Apogon,Apogon limenus,Australia,Moreton Bay,May-15,Car1,1,0.025,40.65,23,35.1,8.09,0.8907500000000002,double
Lethrinidae,Lethrinus,Lethrinus nebulosus,Australia,Moreton Bay,May-15,SE1,1,0.183,59.26,23,35.1,8.09,1.5701399999999999,double
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar8,2,0.0308,74.47,23,35.1,8.09,0.858396,double
Lethrinidae,Lethrinus,Lethrinus nebulosus,Australia,Moreton Bay,May-15,SE2,1,0.197,71.36,23,35.1,8.09,3.16382,double
Haemulidae,Plectorhinchus,Plectorhinchus picus,Australia,Moreton Bay,May-15,SL1,1,0.188,71.37,23,35.1,8.09,3.29752,double
Tetrarogidae,Centropogon,Centropogon australis,Australia,Moreton Bay,May-15,BF1,1,0.001,50.78,23,35.1,8.09,0.051070000000000004,double
Tetrarogidae,Centropogon,Centropogon australis,Australia,Moreton Bay,May-15,BF2,1,0.0032,71.67,23,35.1,8.09,0.14294400000000002,double
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar9,2,0.0062,74.57,23,35.1,8.09,0.145142,double
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar10,6,0.0052,73.17,23,35.1,8.09,0.329212,double
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar11,1,0.51,77.43,23,35.1,8.09,11.8422,double
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-15,Mp6,3,0.0973,72.83,23,35.1,8.09,1.376795,double
Latidae,Lates,Lates calcarifer,Australia,Moreton Bay,May-15,Bar12,2,0.0284,74.56,23,35.1,8.09,0.455536,double
Tetrarogidae,Centropogon,Centropogon australis,Australia,Moreton Bay,May-14,BF3,1,0.0032,112.78,23,35.1,8.09,0.135904,double
Tetrarogidae,Centropogon,Centropogon australis,Australia,Moreton Bay,May-14,BF4,2,0.0033,96.92,23,35.1,8.09,0.105864,double
Terapontidae,Pelates,Pelates sexlineatus,Australia,Moreton Bay,May-14,Tru1,1,0.0145,73.97,23,35.1,8.09,0.462695,double
Sparidae,Pagrus,Pagrus auratus,Australia,Moreton Bay,May-14,Sp2,1,0.064,69.9,23,35.1,8.09,1.42784,double
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-14,Mp7,2,0.1235,168.84,23,35.1,8.09,4.62631,double
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-14,Mp8,2,0.1635,49.88,23,35.1,8.09,7.9461,double
Lethrinidae,Lethrinus,Lethrinus nebulosus,Australia,Moreton Bay,May-14,SE3,1,0.22,96.78,23,35.1,8.09,5.8608,double
Sparidae,Pagrus,Pagrus auratus,Australia,Moreton Bay,May-14,Sp3,2,0.095,93.06,23,35.1,8.09,2.451,double
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-14,Mp9,3,0.1037,73.79,23,35.1,8.09,3.3329180000000003,double
Lethrinidae,Lethrinus,Lethrinus genivittatus,Australia,Moreton Bay,May-14,GE1,5,0.0476,73.85,23,35.1,8.09,1.497972,double
Lethrinidae,Lethrinus,Lethrinus genivittatus,Australia,Moreton Bay,May-14,GE2,5,0.0766,49.34,23,35.1,8.09,1.58945,double
Lethrinidae,Lethrinus,Lethrinus genivittatus,Australia,Moreton Bay,May-14,GE3,6,0.0843,73.94,23,35.1,8.09,2.176626,double
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-14,Mp10,3,0.1513,91.67,23,35.1,8.09,4.110821,double
Sparidae,Pagrus,Pagrus auratus,Australia,Moreton Bay,May-14,Sp4,3,0.1313,70.11,23,35.1,8.09,3.633071,double
Terapontidae,Pelates,Pelates sexlineatus,Australia,Moreton Bay,May-14,Tru2,11,0.0011,99.82,23,35.1,8.09,0.065384,double
Terapontidae,Pelates,Pelates sexlineatus,Australia,Moreton Bay,May-14,Tru3,7,0.0097,49.96,23,35.1,8.09,0.349006,double
Sparidae,Acanthopagrus,Acanthopagrus australis,Australia,Moreton Bay,May-14,YfB1,2,0.0176,71.43,23,35.1,8.09,0.301136,double
Sparidae,Rhabdosargus,Rhabdosargus sarba,Australia,Moreton Bay,May-14,TW1,3,0.0897,75.3,23,35.1,8.09,2.44881,double
Sparidae,Rhabdosargus,Rhabdosargus sarba,Australia,Moreton Bay,May-14,TW2,2,0.085,66.14,23,35.1,8.09,3.1314000000000006,double
Sparidae,Acanthopagrus,Acanthopagrus australis,Australia,Moreton Bay,May-14,YfB2,1,0.202,93.09,23,35.1,8.09,2.7876000000000003,double
Terapontidae,Pelates,Pelates sexlineatus,Australia,Moreton Bay,May-14,Tru4,10,0.005,73.86,23,35.1,8.09,0.3281,double
Sillaginidae,Sillago,Sillago maculata,Australia,Moreton Bay,May-14,Whit1,4,0.0103,18.3,23,35.1,8.09,0.37492,double
Sygnathidae,Hippocampus,Hippocampus whitei,Australia,Moreton Bay,May-14,SH1,1,0.0025,46.87,23,35.1,8.09,0.179225,double
Diodontidae,Tragulichthys,Tragulichthys jaculiferus,Australia,Moreton Bay,May-14,PF1,1,0.91,71.57,23,35.1,8.09,2.3296,double
Sparidae,Pagrus,Pagrus auratus,Australia,Moreton Bay,May-14,SP5,1,0.11,75.7,23,35.1,8.09,1.5268000000000002,double
Sparidae,Acanthopagrus,Acanthopagrus australis,Australia,Moreton Bay,May-14,YfB3,1,0.0814,74.65,23,35.1,8.09,1.04192,double
Lutjanidae,Lutjanus,Lutjanus russellii,Australia,Moreton Bay,May-14,Mp11,1,0.0171,73.53,23,35.1,8.09,0.14671800000000002,double
Sparidae,Acanthopagrus,Acanthopagrus australis,Australia,Moreton Bay,May-14,YfB4,2,0.0805,94.96,23,35.1,8.09,1.190595,double
Labridae,Halichoeres,Halichoeres trimaculatus,Australia,Heron Island,Apr-14,TsW1,2,0.042,44.98,25,36.5,8.18,1.4784000000000002,double
Labridae,Halichoeres,Halichoeres trimaculatus,Australia,Heron Island,Apr-14,TsW2,1,0.052,26,25,36.5,8.18,3.19228,double
Labridae,Halichoeres,Halichoeres trimaculatus,Australia,Heron Island,Apr-14,TsW3,2,0.037,25.75,25,36.5,8.18,1.98061,double
Labridae,Halichoeres,Halichoeres trimaculatus,Australia,Heron Island,Apr-14,TsW4,1,0.06,36,25,36.5,8.18,2.472,double
Labridae,Thalassoma,Thalassoma lunare,Australia,Heron Island,Apr-14,MW1,1,0.0222,26.25,25,36.5,8.18,1.3333320000000002,double
Sphyraenidae,Sphyraena,Sphyraena barracuda,Bahamas,Cape Eleuthera,Nov-09,Ba1,1,0.691,22.68,27,36.6,NA,27.88185,double
Lutjanidae,Lutjanus,Lutjanus apodus,Bahamas,Cape Eleuthera,Nov-09,Sch1,3,0.247,22.92,27,36.6,NA,10.633349999999998,double
